Trip_ID,medallion, hack_license, vendor_id, rate_code, passenger_count, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_time,pickup_date,dropoff_time,dropoff_date,trip_time
0,3B1A31779BCE30367D00C6F7911573C0,AED0496C937E41C4515D64E851F873AB,VTS,1,1,1.34,-73.982285,40.772816,-73.986214,40.758743,0,01-05-2013,0,01-05-2013,8
1,A38D671A1B460DEB1CFDF1453F540031,47AC05DE111ADCA998F5A8F2572BD330,VTS,1,5,2.5,-73.97747,40.745312,-73.955597,40.774212,9,05-05-2013,9,05-05-2013,8
2,7B201D72A725B65DA1E4D504961EBA17,F2020C3F18330FA66573FB2887E21C08,VTS,1,1,1.59,-73.962158,40.779106,-73.950661,40.794224,12,05-05-2013,12,05-05-2013,7
3,AB4CE77E2C4994681AC037E63182BE56,3B47015213C70F620585DE87CC5FEE5D,VTS,1,1,1.72,-74.005463,40.74593,-73.99054,40.766376,12,05-05-2013,12,05-05-2013,4
4,198CE3EF5EE01960EE8CEB9CF9D1B0E1,BF3544AD02805D369B57E19060DE1C6E,VTS,1,5,1.9,-73.993759,40.720909,-74.002625,40.739662,2,05-05-2013,3,05-05-2013,10
5,6262E716CE2FF6AD3B433057F299C75F,38072A275B6EF3B2D6C6633709714A2F,VTS,1,5,3.04,-73.959038,40.780987,-73.99028,40.751778,11,05-05-2013,12,05-05-2013,11
6,BE0D66D2F076E9E0D89FCCA98E32015F,4F1AC06CDA0A2B9111DFC6D4522E2DD7,VTS,1,1,1.8,-73.975365,40.777042,-73.960045,40.770519,11,05-05-2013,11,05-05-2013,9
7,B82032932F7C76B8AADF55B524918C15,3BB26E7CBA9D1AB6E2FE727F02FC6B56,VTS,1,6,3.15,-73.789787,40.646557,-73.999725,40.727016,9,05-05-2013,10,05-05-2013,15
8,C0ABDE2119BEEC589421CA83A9068A92,0B70B06FD76DA2DD534FEEA2688D1410,VTS,1,5,9.26,-73.989388,40.688808,-73.98307,40.769691,10,05-05-2013,10,05-05-2013,30
9,AB4F8FB6109800A8FE7472079BD29C9E,E107CC6BB39F11041D20323137DD9F85,VTS,1,1,2.05,-73.96418,40.757278,-73.984016,40.734398,10,05-05-2013,11,05-05-2013,7
10,068BBBB507BB54C49473D17F9C6376B4,CFE3E61481F7E65FB280133D2CB735FB,VTS,1,1,0.4,-73.954826,40.777672,-73.954826,40.777672,12,05-05-2013,12,05-05-2013,3
11,E438441E8EEDB4CA6FDF7D6639DB1672,5FFC0902289F840FFEC24E3D8AC179AC,VTS,2,1,16.87,-73.980118,40.758678,-73.789101,40.641655,12,05-05-2013,12,05-05-2013,27
12,383E0C5CDEAD28C1273817087900EC2F,4D5DD72C63FF0C5EE19DD382855312FD,VTS,1,6,1.99,-73.969528,40.784626,-73.973297,40.760914,10,05-05-2013,10,05-05-2013,8
